epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1442.61,1.36196,0.63861,0.86271,0.9635,0.90267,0.95233,0.52823,1.60915,0.73439,0.88697,0.000177651,0.000177651,0.000177651
75,1462.05,1.35449,0.64342,0.86292,0.96472,0.89661,0.95158,0.51896,1.64501,0.73663,0.89021,0.000166149,0.000166149,0.000166149
76,1481.22,1.37502,0.64286,0.86546,0.96571,0.89398,0.94756,0.51514,1.66265,0.73671,0.89258,0.000154982,0.000154982,0.000154982
77,1500.34,1.38192,0.63077,0.87722,0.97729,0.87639,0.95801,0.51956,1.62777,0.7264,0.89086,0.000144161,0.000144161,0.000144161
78,1519.49,1.34897,0.63211,0.87278,0.88786,0.93632,0.95248,0.50153,1.68231,0.75148,0.89323,0.000133695,0.000133695,0.000133695
79,1538.66,1.3427,0.64026,0.85595,0.91088,0.91973,0.95897,0.51399,1.67045,0.74782,0.89027,0.000123596,0.000123596,0.000123596
80,1557.86,1.3282,0.62545,0.85885,0.9126,0.94002,0.96517,0.5265,1.63439,0.73632,0.88966,0.000113873,0.000113873,0.000113873
81,1577,1.33982,0.61999,0.86708,0.90837,0.91969,0.95891,0.52277,1.64521,0.73511,0.88878,0.000104537,0.000104537,0.000104537
82,1596.19,1.34781,0.61807,0.86283,0.91087,0.93576,0.95843,0.52219,1.6312,0.7204,0.88805,9.55951e-05,9.55951e-05,9.55951e-05
83,1615.41,1.35126,0.63212,0.8653,0.90622,0.93573,0.96058,0.52216,1.63379,0.72057,0.887,8.70577e-05,8.70577e-05,8.70577e-05
84,1634.53,1.31415,0.61136,0.86528,0.90716,0.92868,0.95942,0.51705,1.64675,0.72064,0.88858,7.89327e-05,7.89327e-05,7.89327e-05
85,1653.71,1.32546,0.61444,0.86154,0.97561,0.88116,0.95576,0.5135,1.65448,0.72756,0.88943,7.12282e-05,7.12282e-05,7.12282e-05
86,1672.9,1.34703,0.61988,0.86127,0.98024,0.89151,0.96263,0.52231,1.63442,0.71814,0.88848,6.39518e-05,6.39518e-05,6.39518e-05
87,1692.11,1.3458,0.61995,0.85367,0.97307,0.88568,0.95714,0.52211,1.62919,0.71469,0.8873,5.71106e-05,5.71106e-05,5.71106e-05
88,1711.24,1.31732,0.61707,0.85141,0.9743,0.8756,0.95517,0.51507,1.65498,0.72765,0.88969,5.07115e-05,5.07115e-05,5.07115e-05
89,1730.45,1.31828,0.61241,0.86009,0.97668,0.88788,0.96222,0.52369,1.62441,0.7177,0.88727,4.47606e-05,4.47606e-05,4.47606e-05
90,1749.62,1.30164,0.60075,0.86026,0.9789,0.88532,0.96028,0.52781,1.625,0.71497,0.88691,3.9264e-05,3.9264e-05,3.9264e-05
91,1769.13,1.33918,0.62096,0.87398,0.95625,0.88512,0.94828,0.50205,1.68569,0.74475,0.89545,3.4227e-05,3.4227e-05,3.4227e-05
92,1788.33,1.28994,0.59409,0.86455,0.97815,0.88097,0.95199,0.50618,1.68188,0.73351,0.89484,2.96546e-05,2.96546e-05,2.96546e-05
93,1807.44,1.29178,0.58906,0.86323,0.98133,0.89163,0.95749,0.51766,1.64453,0.72012,0.89128,2.55513e-05,2.55513e-05,2.55513e-05
94,1826.62,1.30092,0.5885,0.86677,0.97601,0.8905,0.9551,0.51379,1.67668,0.72563,0.89488,2.19212e-05,2.19212e-05,2.19212e-05
