epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,664.73,1.49922,0.74911,0.87398,0.95856,0.89805,0.94352,0.49113,1.69723,0.77631,0.88948,0.000253024,0.000253024,0.000253024
69,674.242,1.455,0.72231,0.87363,0.9498,0.89547,0.94149,0.48924,1.70177,0.78003,0.88981,0.000239766,0.000239766,0.000239766
70,683.75,1.45718,0.71581,0.88153,0.96246,0.90767,0.94895,0.50158,1.66701,0.75923,0.88862,0.000226769,0.000226769,0.000226769
71,693.28,1.44646,0.71922,0.86699,0.96206,0.90561,0.94985,0.50648,1.65814,0.75605,0.88564,0.000214046,0.000214046,0.000214046
72,702.769,1.46265,0.70975,0.86814,0.95747,0.90053,0.94298,0.49425,1.71664,0.76955,0.89193,0.000201611,0.000201611,0.000201611
73,712.317,1.44191,0.70707,0.8679,0.9638,0.89285,0.94087,0.48621,1.72405,0.7703,0.88966,0.000189475,0.000189475,0.000189475
74,721.915,1.43415,0.70909,0.86633,0.96022,0.89667,0.93891,0.51441,1.65609,0.7481,0.88314,0.000177651,0.000177651,0.000177651
75,731.489,1.43698,0.69233,0.86886,0.95945,0.89635,0.93974,0.5065,1.67902,0.75665,0.88802,0.000166149,0.000166149,0.000166149
76,741.039,1.46299,0.70878,0.86888,0.94381,0.91269,0.94101,0.49757,1.69061,0.77533,0.88799,0.000154982,0.000154982,0.000154982
77,750.55,1.4408,0.68784,0.87948,0.96613,0.89954,0.94457,0.50414,1.6661,0.7545,0.88314,0.000144161,0.000144161,0.000144161
78,760.036,1.40266,0.67823,0.87113,0.95191,0.90981,0.94782,0.50359,1.68363,0.75133,0.88532,0.000133695,0.000133695,0.000133695
79,769.536,1.42286,0.69766,0.86056,0.95847,0.90955,0.94961,0.50854,1.68903,0.73992,0.88558,0.000123596,0.000123596,0.000123596
80,779.04,1.41213,0.68597,0.86565,0.95912,0.911,0.9483,0.50512,1.67415,0.7381,0.88495,0.000113873,0.000113873,0.000113873
81,788.6,1.3926,0.66798,0.86728,0.95971,0.90469,0.94607,0.50885,1.65787,0.74249,0.88408,0.000104537,0.000104537,0.000104537
82,798.042,1.42383,0.67454,0.86689,0.97085,0.89393,0.94506,0.50851,1.67341,0.74318,0.88608,9.55951e-05,9.55951e-05,9.55951e-05
83,807.531,1.41748,0.67593,0.86706,0.96918,0.90729,0.94867,0.51265,1.66745,0.73765,0.88437,8.70577e-05,8.70577e-05,8.70577e-05
84,817.056,1.37423,0.65453,0.86666,0.96812,0.90559,0.94819,0.50638,1.66774,0.73616,0.88385,7.89327e-05,7.89327e-05,7.89327e-05
